DATE,DFF
1955-01-01,1.7886027397260274
1956-01-01,2.7295901639344262
1957-01-01,3.1053424657534247
1958-01-01,1.5723561643835616
1959-01-01,3.3100821917808219
1960-01-01,3.2117486338797814
1961-01-01,1.9496712328767123
1962-01-01,2.7103013698630137
1963-01-01,3.1787397260273973
1964-01-01,3.4960928961748634
1965-01-01,4.0767671232876712
1966-01-01,5.1143561643835616
1967-01-01,4.2164383561643836
1968-01-01,5.6618852459016393
1969-01-01,8.2143013698630137
1970-01-01,7.1709041095890411
1971-01-01,4.6679452054794521
1972-01-01,4.4371311475409836
1973-01-01,8.7422739726027397
1974-01-01,10.5113972602739726
1975-01-01,5.8211780821917808
1976-01-01,5.0450819672131148
1977-01-01,5.5423013698630137
1978-01-01,7.9368767123287671
1979-01-01,11.2027945205479452
1980-01-01,13.3497267759562842
1981-01-01,16.3863561643835616
1982-01-01,12.2376712328767123
1983-01-01,9.0902739726027397
1984-01-01,10.2250819672131148
1985-01-01,8.0996712328767123
1986-01-01,6.7994794520547945
1987-01-01,6.6603561643835616
1988-01-01,7.5718032786885246
1989-01-01,9.2149041095890411
1990-01-01,8.0965205479452055
1991-01-01,5.6850136986301370
1992-01-01,3.5210655737704918
1993-01-01,3.0213424657534247
1994-01-01,4.2063287671232877
1995-01-01,5.8343013698630137
1996-01-01,5.3004644808743169
1997-01-01,5.4615068493150685
1998-01-01,5.3509315068493151
1999-01-01,4.9723561643835616
2000-01-01,6.2374316939890710
2001-01-01,3.8783561643835616
2002-01-01,1.6667945205479452
2003-01-01,1.1264931506849315
2004-01-01,1.3503278688524590
2005-01-01,3.2170684931506849
2006-01-01,4.9654246575342466
2007-01-01,5.0173150684931507
2008-01-01,1.9241803278688525
2009-01-01,0.15860273972602739726
2010-01-01,0.17624657534246575342
2011-01-01,0.10150684931506849315
2012-01-01,0.14057377049180327869
2013-01-01,0.10734246575342465753
2014-01-01,0.08849315068493150685
2015-01-01,0.13372602739726027397
2016-01-01,0.39319672131147540984
2017-01-01,1.0029589041095890
2018-01-01,1.8349315068493151
2019-01-01,2.1572602739726027
2020-01-01,0.37224043715846994536
2021-01-01,0.07868493150684931507
2022-01-01,1.6921917808219178
